p_code,p_name,p_day,rev_25,hc_25,rev_26,hc_26,rev_diff,rev_pct,status,pday_bucket
INC2078,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>[서부]25-0219 롯데 JTB LA 계열사 ",3,0.0,1.0,0.0,0.0,0.0,0.0,동시운영,2~3박
INC2085,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>[서부] 25-0226  & 25-0303 단독 엘에이 일정 PTY",2,2700.0,2.0,0.0,0.0,-2700.0,-100.0,단종(작년만),1박
INC2109,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>[서부] 25-0503 여우투어 ",5,0.0,4.0,0.0,0.0,0.0,0.0,동시운영,4박+
INC2114,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>[서부]25-0413 대구포커스 휴스톤 로봇 대회 ",8,0.0,26.0,0.0,0.0,0.0,0.0,동시운영,4박+
INC2117,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>[서부] 25-0415 샤론항공 답사 ",5,0.0,3.0,0.0,0.0,0.0,0.0,동시운영,4박+
INC2122,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>[서부] 25-0420 롯데 JTB 샌프란시스코",5,0.0,12.0,0.0,0.0,0.0,0.0,동시운영,4박+
INC2123,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>[서부] 0412 OC 장로협회 당일관광",1,3840.0,32.0,0.0,0.0,-3840.0,-100.0,단종(작년만),당일
INC2126,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>[서부] 25-0418 대구아메리카 부산 소마고 답사팀 ",5,0.0,2.0,0.0,0.0,0.0,0.0,동시운영,4박+
INC2127,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>[서부] 25-0522 대구아메리카 부산 소마고",8,0.0,70.0,0.0,0.0,0.0,0.0,동시운영,4박+
INC2129,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>[서부] 25-0409 코트라 - 비즈니스 사절단 PTY",4,3000.0,1.0,0.0,0.0,-3000.0,-100.0,단종(작년만),2~3박
INC2293,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>[동부] 0320 한진 임윤찬",24,0.0,0.0,50.0,12.0,50.0,100.0,신규(올해만),4박+
INC2343,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span> [동부] 03152026 Ivy League 단독",7,0.0,0.0,37800.0,22.0,37800.0,100.0,신규(올해만),4박+
INC2361,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span> [동부] 0105 엔투어 CES",2,0.0,0.0,0.0,3.0,0.0,0.0,동시운영,1박
INC2365,"<span style=""color:#1E90FF;""><strong>[LA출발]</strong></span>[서부] 26-0529롯데관광 / 시애틀 단독 + 알래스카 크루즈 8박9일",9,0.0,0.0,41683.0,11.0,41683.0,100.0,신규(올해만),4박+
INC2366,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>0117 IAPMT 아이비리그 투어 5박6일",6,0.0,0.0,25430.0,22.0,25430.0,100.0,신규(올해만),4박+
INC2368,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span> [동부] 0107 롯데 물산",3,0.0,0.0,0.0,3.0,0.0,0.0,동시운영,2~3박
INC2372,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>[서부] 26-0202 대구아메리카 경상대 항공우주 ",5,0.0,0.0,0.0,50.0,0.0,0.0,동시운영,4박+
INC2374,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>260201 나눔투어 오번대 연수",13,0.0,0.0,0.0,10.0,0.0,0.0,동시운영,4박+
INC2376,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>[서부] 포토 앤 비디오 단독 워싱턴 오레건주 5박6일",6,0.0,0.0,67723.0,28.0,67723.0,100.0,신규(올해만),4박+
INC2379,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span> 260210 앳홈트립",6,0.0,0.0,0.0,51.0,0.0,0.0,동시운영,4박+
INC2381,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>[서부] 26-0126 롯데 GRS ",6,0.0,0.0,0.0,6.0,0.0,0.0,동시운영,4박+
INC2384,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>[동부] 260214 미동서 가족여행 (이주호)",5,0.0,0.0,20432.0,5.0,20432.0,100.0,신규(올해만),4박+
INC2385,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>[서부]  260218 미동서 가족여행 (이주호)",7,0.0,0.0,0.0,5.0,0.0,0.0,동시운영,4박+
INC2391,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>[서부] 26-0211 도로공사 차량/가이드 ",3,0.0,0.0,6000.0,6.0,6000.0,100.0,신규(올해만),2~3박
INC2396,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>[서부] 26-0511 타이드 스퀘어 유니시티 ",5,0.0,0.0,0.0,48.0,0.0,0.0,동시운영,4박+
INC2397,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>[서부] 26-0621 지엠컴 ",5,0.0,0.0,0.0,15.0,0.0,0.0,동시운영,4박+
INC2403,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>[서부] 26-0318 캘리포니아 성지순례 ",5,0.0,0.0,20540.0,14.0,20540.0,100.0,신규(올해만),4박+
INC2404,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>[서부] 26-0307 대구아메리카 미서부 도시계획 ",6,0.0,0.0,0.0,13.0,0.0,0.0,동시운영,4박+
INC2405,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>[서부] 26-0511 롯데 GRS ",5,0.0,0.0,0.0,39.0,0.0,0.0,동시운영,4박+
INC2406,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>[서부] 26-0315 대구아메리카 NVIDIA ",6,0.0,0.0,0.0,19.0,0.0,0.0,동시운영,4박+
INC2409,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>[서부] 26-0309 문재인 전 대통령 요세미티 ",2,0.0,0.0,0.0,10.0,0.0,0.0,동시운영,1박
INC2413,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>[서부]  26-0330  지엠컴 답사 ",4,0.0,0.0,0.0,3.0,0.0,0.0,동시운영,2~3박
INC2416,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>[서부] 26-0413 롯데JTB 삼성생명 ",8,0.0,0.0,0.0,15.0,0.0,0.0,동시운영,4박+
INC2425,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>미서부 인센 단독",5,0.0,0.0,15610.0,7.0,15610.0,100.0,신규(올해만),4박+
INC2426,"<span style=""color:#1E90FF;""><strong>[LA출발]</strong></span>[서부] 26-0717 샤론항공 / 영동교육청 PTY",8,0.0,0.0,0.0,1.0,0.0,0.0,동시운영,4박+
INC2427,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>[서부]26-0521 강선경 가족 PTY",9,0.0,0.0,0.0,14.0,0.0,0.0,동시운영,4박+
INC2428,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>[서부]26-0514 라스투어 / 어린이집 PTY",10,0.0,0.0,0.0,1.0,0.0,0.0,동시운영,4박+
INC2437,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>[서부] 26-0421 샤론항공 / 영동교육청 답사팀 ",7,0.0,0.0,0.0,3.0,0.0,0.0,동시운영,4박+
INC2439,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>[서부]26-0501 한진법인 / 티머니 - 라스베가스 온니",8,0.0,0.0,0.0,4.0,0.0,0.0,동시운영,4박+
INC2444,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>[서부]26-0327 알함브라 고등학교 / 모국관광 PTY",10,0.0,0.0,7848.0,1.0,7848.0,100.0,신규(올해만),4박+
INC2455,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>[동부] 0415 충청남도 교육감",4,0.0,0.0,8871.0,6.0,8871.0,100.0,신규(올해만),2~3박
INC2468,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>[서부]26-0604 투싼 교육청 / 모국행사 ",3,0.0,0.0,92523.0,1.0,92523.0,100.0,신규(올해만),2~3박
NJ1N,내려와서 NJ HOTEL (1박),2,0.0,0.0,0.0,3.0,0.0,0.0,동시운영,1박
NJ2N,내려와서 NJ HOTEL (2박),3,0.0,2.0,0.0,0.0,0.0,0.0,동시운영,2~3박
OUT1011,"<span style=""color:#1fc3c5;""><strong>[달라스출발]</strong></span> 다양한 색깔의 아프리카 그리고 두바이 16일",16,0.0,0.0,54669.89,5.0,54669.89,100.0,신규(올해만),4박+
OUT1013,"<span style=""color:#014099;""><strong>[전지역출발]</strong></span> 다양한 색깔의 아프리카 그리고 두바이 16일",16,72120.85,5.0,80429.61,7.0,8308.759999999995,11.520607424898618,동시운영,4박+
OUT1038,"<span style=""color:#1fc3c5;""><strong>[달라스출발]</strong></span>[중미의 진주] 코스타리카 5박6일",6,10204.58,4.0,0.0,0.0,-10204.58,-100.0,단종(작년만),4박+
OUT1108,"<span style=""color:#014099;""><strong>[전지역출발]</strong></span>[발걸음이 이끄는 그곳] 스페인·포르투갈·모로코 11일",11,6198.0,2.0,101355.14,27.0,95157.14,1535.2878347854146,동시운영,4박+
OUT1123,"<span style=""color:#014099;""><strong>[전지역출발]</strong></span> [중간항공 1회/산토리니 1박/크레타섬 1박/월드체인 2박 포함][지중해를 품은] 그리스 일주 9일",9,0.0,0.0,5980.0,2.0,5980.0,100.0,신규(올해만),4박+
OUT1136,"<span style=""color:#014099;""><strong>[전지역출발]</strong></span> [사막위의 기적] 두바이+아부다비 6일",6,0.0,0.0,33177.380000000005,8.0,33177.380000000005,100.0,신규(올해만),4박+
OUT1138,"<span style=""color:#014099;""><strong>[전지역출발]</strong></span>GC녹십자 - I-MED 대표검진 종합검진 A형",1,2800.0,4.0,0.0,0.0,-2800.0,-100.0,단종(작년만),당일
OUT1139,"<span style=""color:#014099;""><strong>[전지역출발]</strong></span>GC녹십자 - I-MED 대표검진 종합검진 B형",1,3600.0,4.0,0.0,0.0,-3600.0,-100.0,단종(작년만),당일
OUT1146,"<span style=""color:#014099;""><strong>[전지역출발]</strong></span>2024 동계 프리미엄 글레이셔 밴쿠버+록키 4박5일 (밴쿠버 IN/OUT 2024년11월18일~2025년4월19일까지)",5,3600.0,2.0,0.0,0.0,-3600.0,-100.0,단종(작년만),4박+
OUT1146,"<span style=""color:#014099;""><strong>[전지역출발]</strong></span>동계 밴쿠버+록키 4박5일 (밴쿠버 IN/OUT  10/13/2025~04/19/2026 월금)",5,0.0,0.0,2198.0,2.0,2198.0,100.0,신규(올해만),4박+
OUT1216,"<span style=""color:#a800ff;""><strong>[인트라넷 only]</strong></span>크루즈",10,74190.65,108.0,17575.760000000002,14.0,-56614.88999999999,-76.31000671917553,동시운영,4박+
OUT1255,"<span style=""color:#a800ff;""><strong>[인트라넷 only]</strong></span>바하마 크루즈 7박 8일",8,0.0,0.0,3673.2,4.0,3673.2,100.0,신규(올해만),4박+
OUT1336,"<span style=""color:#014099;""><strong>[전지역출발]</strong></span>안동병원 및  UNESCO등재 한국문화탐방 헬스투어 2박3일 - 기본검진",3,699.0,1.0,0.0,0.0,-699.0,-100.0,단종(작년만),2~3박
OUT1377,"<span style=""color:#014099;""><strong>[전지역출발]</strong></span> 2025 [터키항공 직항] 튀르키예(터키) 완전일주 10일",10,39085.42,18.0,3689.87,1.0,-35395.549999999996,-90.5594720486565,동시운영,4박+
OUT1377,"<span style=""color:#014099;""><strong>[전지역출발]</strong></span> [터키항공 직항] 2026 튀르키예(터키) 완전일주 10일",10,0.0,0.0,54754.759999999995,21.0,54754.759999999995,100.0,신규(올해만),4박+
OUT1394,"<span style=""color:#014099;""><strong>[전지역출발]</strong></span> 남미 2개국_아르헨티나&브라질(이과수,리오) 4박7일",7,41803.66,12.0,0.0,0.0,-41803.66,-100.0,단종(작년만),4박+
OUT1396,"<span style=""color:#014099;""><strong>[전지역출발]</strong></span> 정열의 나라 남미대표 3개국_페루&아르헨티나&브라질 12일",12,106771.54,19.0,0.0,0.0,-106771.54,-100.0,단종(작년만),4박+
OUT1517,"<span style=""color:#014099;""><strong>[전지역출발]</strong></span> [동남아 어드벤쳐]베트남에서 시작되어 방콕과 싱가포르로 이어지는 환상적인 8박 11일",11,0.0,0.0,34864.06,13.0,34864.06,100.0,신규(올해만),4박+
OUT1517,"<span style=""color:#1E90FF;""><strong>[LA출발]</strong></span> [동남아 어드벤쳐]베트남에서 시작되어 방콕과 싱가포르로 이어지는 환상적인 9박 11일",11,16374.0,4.0,0.0,0.0,-16374.0,-100.0,단종(작년만),4박+
OUT1518,[항공권] 에어프레미아,1,190695.19,128.0,203178.46,151.0,12483.26999999999,6.546190284086342,동시운영,당일
